store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,fit_size,price,special_price,weight,msrp,manufacturer,status,is_recurring,visibility,tax_class_id,volume_comprimento,volume_altura,volume_largura,posting_days, ,short_description,meta_keyword,custom_layout_update,postmethods,product_shipping,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,website,_media_image,_media_lable,_media_position,_media_is_disabled
admin,base,Default,simple,"366,367,370,371,373,374,392,396,404",AL13015701,0,Banqueta,,,/b/a/banqueta_2.jpg,/b/a/banqueta_2.jpg,/b/a/banqueta_2.jpg,banqueta,banqueta.html,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,, ,Utilizar configuração,Utilizar configuração,Não,,1199.9000,,0.0000,,Casa Júpiter,Habilitado,Não,"Catálogo, Busca",Nenhum,30,73,33,40,Banqueta feita com os pés em cobre e assento em madeira jatobá,Banqueta,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,2016-06-08 18:31:44,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,Banqueta,0,simple,,,,,,,
admin,base,Default,simple,"370,371,373,374,416,418,419",AL130210601,0,Triplo,,,/t/r/triplo_2.jpg,/t/r/triplo_2.jpg,/t/r/triplo_2.jpg,triplo,triplo.html,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,, ,Utilizar configuração,Utilizar configuração,Não,,319.9000,,0.0000,,Casa Júpiter,Habilitado,Não,"Catálogo, Busca",Nenhum,14,24,22,40,"Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Triplo,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,2016-06-08 18:31:14,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,Triplo,0,simple,,,,,,,
admin,base,Default,simple,"370,371,373,374,416,418,419",AL130210602,0,Duplo,,,/d/u/duplo_2.jpg,/d/u/duplo_2.jpg,/d/u/duplo_2.jpg,duplo,duplo.html,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,, ,Utilizar configuração,Utilizar configuração,Não,,259.9000,,0.0000,,Casa Júpiter,Habilitado,Não,"Catálogo, Busca",Nenhum,4,22,14,40,"Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Duplo,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,2016-06-08 18:30:38,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,Duplo,0,simple,,,,,,,
admin,base,Default,simple,"370,371,373,374,416,418,419",AL130210603,0,Solo,,,/s/o/solo_1.jpg,/s/o/solo_1.jpg,/s/o/solo_1.jpg,solo,solo.html,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,, ,Utilizar configuração,Utilizar configuração,Não,,123.9000,,0.0000,,Casa Júpiter,Habilitado,Não,"Catálogo, Busca",Nenhum,4,19,4,40,"Castiçal feito em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Solo,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,2016-06-08 18:30:00,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,Solo,0,simple,,,,,,,
admin,base,Default,simple,"370,371,373,374,408,410,411",AL13027901,0,Luminária de Mesa Tridente,,,/t/r/trident_1.jpg,/t/r/trident_1.jpg,/t/r/trident_1.jpg,luminaria-de-mesa-tridente,luminaria-de-mesa-tridente.html,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,, ,Utilizar configuração,Utilizar configuração,Não,,1209.9000,,0.0000,,Casa Júpiter,Habilitado,Não,"Catálogo, Busca",Nenhum,17,54,30,40,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Luminária de Mesa Tridente,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,2016-06-08 18:29:26,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,Luminária de Mesa Tridente,0,simple,,,,,,,
admin,base,Default,simple,"370,371,373,374,408,410,411",AL13027902,0,Luminária de Mesa Cross,,,/c/r/cross_2.jpg,/c/r/cross_2.jpg,/c/r/cross_2.jpg,luminaria-de-mesa-cross,luminaria-de-mesa-cross.html,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,, ,Utilizar configuração,Utilizar configuração,Não,,1559.9000,,0.0000,,Casa Júpiter,Habilitado,Não,"Catálogo, Busca",Nenhum,13,65,39,40,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Luminária de Mesa Cross,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,2016-06-08 18:28:55,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,Luminária de Mesa Cross,0,simple,,,,,,,
admin,base,Default,simple,"370,371,373,374,408,410,411",AL13027903,0,EFE,,,/e/f/efe_2.jpg,/e/f/efe_2.jpg,/e/f/efe_2.jpg,efe,efe.html,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,, ,Utilizar configuração,Utilizar configuração,Não,,1099.9000,,0.0000,,Casa Júpiter,Habilitado,Não,"Catálogo, Busca",Nenhum,13,69,12,40,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",EFE,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,2016-06-08 18:28:16,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,EFE,0,simple,,,,,,,
admin,base,Default,simple,"370,371,373,374,408,410,411",AL13027904,0,Cactus,,,/c/a/cactus_2.jpg,/c/a/cactus_2.jpg,/c/a/cactus_2.jpg,cactus,cactus.html,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,, ,Utilizar configuração,Utilizar configuração,Não,,1483.9000,,0.0000,,Casa Júpiter,Habilitado,Não,"Catálogo, Busca",Nenhum,17,54,28,40,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Cactus,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,2016-06-08 18:27:38,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,Cactus,0,simple,,,,,,,
admin,base,Default,simple,"370,371,373,374,408,410,411",AL13027905,0,Diagonal,,,/d/i/diagonal_2.jpg,/d/i/diagonal_2.jpg,/d/i/diagonal_2.jpg,diagonal,diagonal.html,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,, ,Utilizar configuração,Utilizar configuração,Não,,579.9000,,0.0000,,Casa Júpiter,Habilitado,Não,"Catálogo, Busca",Nenhum,16,33,16,40,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Diagonal,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,2016-06-08 18:26:28,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,Diagonal,0,simple,,,,,,,
admin,base,Default,simple,"370,371,373,374,408,410,411",AL13027906,0,Pêndulo,,,/p/e/pendulo_1.jpg,/p/e/pendulo_1.jpg,/p/e/pendulo_1.jpg,pendulo,pendulo.html,,Sem atualizações de leiaute,Bloco depois da Coluna de Informação,,,, ,Utilizar configuração,Utilizar configuração,Não,,619.9000,,0.0000,,Casa Júpiter,Habilitado,Não,"Catálogo, Busca",Nenhum,17,31,17,40,"Luminária de Mesa feita em cobre, latão e ferro, com lâmpadas de filamento de carbono.",Pêndulo,,,,,,,,,,,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,0,2016-06-08 18:24:16,0.0000,1,0,0,1,1,0.0000,1,0,0,1,1,Pêndulo,0,simple,,,,,,,
